,drop_range,up_count,down_count,up_pct,down_pct,total
91,9 to 8,38780,33722,53.48817963642383,46.51182036357618,72502
92,8 to 7,57958,47554,54.930244901053904,45.06975509894609,105512
93,7 to 6,86707,67748,56.13738629374252,43.862613706257484,154455
94,6 to 5,135307,100663,57.340763656397,42.659236343603,235970
95,5 to 4,225170,156129,59.05339379332231,40.9466062066777,381299
96,4 to 3,394676,253430,60.89682860519729,39.1031713948027,648106
97,3 to 2,743084,433190,63.172696157527916,36.82730384247208,1176274
98,2 to 1,1527673,771330,66.44936957455036,33.55063042544964,2299003
99,1 to 0,3168979,1218333,72.23053660191023,27.769463398089766,4387312
100,0 to -1,3706195,1185174,75.77009626548315,24.22990373451686,4891369
101,-1 to -2,1565441,699017,69.13093552629371,30.869064473706292,2264458
102,-2 to -3,791074,419070,65.370236930481,34.629763069519,1210144
103,-3 to -4,428544,255248,62.671689636614644,37.328310363385356,683792
104,-4 to -5,246599,162423,60.28991105612901,39.71008894387099,409022
