<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQ.US,5,20250716,145000,556.76,556.905,556.7,556.8801,244152,0
QQQ.US,5,20250716,145500,556.88,557.28,556.8285,557.26,336081,0
QQQ.US,5,20250716,150000,557.27,557.47,557.15,557.1799,442317,0
QQQ.US,5,20250716,150500,557.16,557.41,557.07,557.33,231781,0
QQQ.US,5,20250716,151000,557.345,557.39,557.07,557.13,251675,0
QQQ.US,5,20250716,151500,557.135,557.16,556.92,557.115,237669,0
QQQ.US,5,20250716,152000,557.1,557.2,557.0,557.1,182991,0
QQQ.US,5,20250716,152500,557.1,557.305,557.07,557.26,210525,0
QQQ.US,5,20250716,153000,557.25,557.315,557.1,557.21,281836,0
QQQ.US,5,20250716,153500,557.2,557.64,557.11,557.58,322399,0
QQQ.US,5,20250716,154000,557.59,557.94,557.58,557.7599,492802,0
QQQ.US,5,20250716,154500,557.75,557.85,557.55,557.805,336957,0
QQQ.US,5,20250716,155000,557.8,557.8,557.44,557.585,701941,0
QQQ.US,5,20250716,155500,557.6,557.71,557.29,557.29,1668286,0
QQQ.US,5,20250717,093000,558.02,558.425,557.21,557.66,1190990,0
QQQ.US,5,20250717,093500,557.65,557.88,557.305,557.54,613215,0
QQQ.US,5,20250717,094000,557.53,558.69,557.4,558.555,628206,0
QQQ.US,5,20250717,094500,558.56,558.92,558.45,558.9,437644,0
QQQ.US,5,20250717,095000,558.89,559.38,558.78,559.29,356815,0
QQQ.US,5,20250717,095500,559.29,559.42,558.97,559.2,296464,0
QQQ.US,5,20250717,100000,559.22,559.81,559.19,559.76,444786,0
QQQ.US,5,20250717,100500,559.74,559.78,559.39,559.61,365266,0
QQQ.US,5,20250717,101000,559.6,559.68,559.0,559.26,404684,0
QQQ.US,5,20250717,101500,559.27,559.37,558.82,558.8449,244853,0
QQQ.US,5,20250717,102000,558.845,559.0452,558.39,558.7,444964,0
QQQ.US,5,20250717,102500,558.71,559.36,558.5707,559.31,413232,0
QQQ.US,5,20250717,103000,559.32,559.89,559.15,559.72,302973,0
QQQ.US,5,20250717,103500,559.72,559.905,559.44,559.63,348677,0
QQQ.US,5,20250717,104000,559.64,559.9,559.575,559.75,220852,0
QQQ.US,5,20250717,104500,559.775,560.27,559.65,560.235,358315,0
QQQ.US,5,20250717,105000,560.22,560.325,560.0,560.06,342065,0
QQQ.US,5,20250717,105500,560.06,560.37,559.95,560.2625,335577,0
QQQ.US,5,20250717,110000,560.27,560.78,560.245,560.78,446773,0
QQQ.US,5,20250717,110500,560.775,561.44,560.72,561.19,809518,0
QQQ.US,5,20250717,111000,561.205,561.26,560.96,561.23,333802,0
QQQ.US,5,20250717,111500,561.245,561.29,560.8,560.95,274559,0
QQQ.US,5,20250717,112000,560.945,561.06,560.78,561.05,260626,0
QQQ.US,5,20250717,112500,561.055,561.1489,560.94,561.0849,230579,0
QQQ.US,5,20250717,113000,561.085,561.11,560.81,560.86,350415,0
QQQ.US,5,20250717,113500,560.86,561.18,560.82,561.16,311794,0
QQQ.US,5,20250717,114000,561.15,561.47,561.14,561.35,255625,0
QQQ.US,5,20250717,114500,561.34,561.51,561.32,561.345,228067,0
QQQ.US,5,20250717,115000,561.34,561.53,561.25,561.39,191853,0
QQQ.US,5,20250717,115500,561.39,561.68,561.34,561.58,197694,0
QQQ.US,5,20250717,120000,561.58,561.78,561.505,561.73,262094,0
QQQ.US,5,20250717,120500,561.735,561.91,561.615,561.87,311938,0
QQQ.US,5,20250717,121000,561.87,561.955,561.69,561.75,200997,0
QQQ.US,5,20250717,121500,561.755,561.81,561.48,561.51,302945,0
QQQ.US,5,20250717,122000,561.52,562.11,561.5,561.975,369947,0
